,New DB,,,,,,Old DB,,,,todo
3,DonationCurrencyValue,Rate,float,NO,,,const,,,1,
3,DonationCurrencyValue,TotalSum,float,YES,,,direct,Kupat1.Orders,TotalInILS,,
3,DonationCurrencyValue,CreatedAt,datetime,NO,,,const,,,GETDATE(),
3,DonationCurrencyValue,CreatedBy,int,NO,,,const,,,-1,
3,DonationCurrencyValue,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
3,DonationCurrencyValue,UpdatedBy,int,NO,,,const,,,-1,
3,Donation CurrencyValue - USD,,,,,,,,,,
3,DonationCurrencyValue,Id,int,NO,,,auto,,,create record foeach record in Kupat1.Orders <-> NewDB.Donation,
3,DonationCurrencyValue,DonationId,int,NO,,,FK,NewDB.Donation,Id,,
3,DonationCurrencyValue,Currency,int,NO,,,const,Donation,,2(Dollar),
3,DonationCurrencyValue,Rate,float,NO,,,direct,Kupat1.Orders,USDRate,,
3,DonationCurrencyValue,TotalSum,float,YES,,,direct,Kupat1.Orders,TotalInUSD,,
3,DonationCurrencyValue,CreatedAt,datetime,NO,,,const,,,GETDATE(),
3,DonationCurrencyValue,CreatedBy,int,NO,,,const,,,-1,
3,DonationCurrencyValue,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
3,DonationCurrencyValue,UpdatedBy,int,NO,,,const,,,-1,
3,Donation CurrencyValue - EUR,,,,,,,,,,
3,DonationCurrencyValue,Id,int,NO,,,auto,,,create record foeach record in Kupat1.Orders <-> NewDB.Donation,
3,DonationCurrencyValue,DonationId,int,NO,,,FK,NewDB.Donation,Id,,
3,DonationCurrencyValue,Currency,int,NO,,,const,Donation,,3(Euro),
3,DonationCurrencyValue,Rate,float,NO,,,expression,Kupat1.Orders,EURRate,,
3,DonationCurrencyValue,TotalSum,float,YES,,,direct,Kupat1.Orders,TotalInEUR,,
3,DonationCurrencyValue,CreatedAt,datetime,NO,,,const,,,GETDATE(),
3,DonationCurrencyValue,CreatedBy,int,NO,,,const,,,-1,
3,DonationCurrencyValue,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
3,DonationCurrencyValue,UpdatedBy,int,NO,,,const,,,-1,
3,Donation CurrencyValue - GPB,,,,,,,,,,
3,DonationCurrencyValue,Id,int,NO,,,auto,,,"create record foeach record in Kupat1.Orders <-> NewDB.Donation 
where Kupat1.Orders.ChargeCurrency='£'",
3,DonationCurrencyValue,DonationId,int,NO,,,FK,NewDB.Donation,Id,,
3,DonationCurrencyValue,Currency,int,NO,,,const,Donation,,4(Pound),
3,DonationCurrencyValue,Rate,float,NO,,,expression,Kupat1.Orders,"TotalInILS,ChargeTotal",TotalInILS/ChargeTotal,
3,DonationCurrencyValue,TotalSum,float,YES,,,direct,Kupat1.Orders,ChargeTotal,,
3,DonationCurrencyValue,CreatedAt,datetime,NO,,,const,,,GETDATE(),
3,DonationCurrencyValue,CreatedBy,int,NO,,,const,,,-1,
3,DonationCurrencyValue,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
3,DonationCurrencyValue,UpdatedBy,int,NO,,,const,,,-1,
,LutEntityType,Id,int,NO,,,,Donation,,,
,LutEntityType,Description,nvarchar,NO,100,,Expression,Donation,"SourceType,Source,SourceText",,
,LutEntityType,IsSystemValue,bit,NO,,,,Donation,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,LutDonationAction,Id,int,NO,,,,,,,
,LutDonationAction,Description,nvarchar,NO,100,,,,,,
,LutDonationAction,IsSystemValue,bit,NO,,,,,,,
,DonationActionLog,Id,int,NO,,,no-mapping,,,,
,DonationActionLog,DonationId,int,NO,,,no-mapping,,,,
,DonationActionLog,ActionId,int,NO,,,no-mapping,,,,
,DonationActionLog,CreatedAt,datetime,NO,,,no-mapping,,,,
,DonationActionLog,CreatedBy,int,NO,,,no-mapping,,,,
,DonationActionLog,UpdatedAt,datetime,NO,,,no-mapping,,,,
,DonationActionLog,UpdatedBy,int,NO,,,no-mapping,,,,
,LutGender,Id,int,NO,,,,,,,
,LutGender,Description,nvarchar,NO,100,,,,,,
,LutGender,IsSystemValue,bit,NO,,,,,,,
,LutListType,Id,int,NO,,,,,,,
,LutListType,Description,nvarchar,NO,100,,,,,,
,LutListType,IsSystemValue,bit,NO,,,,,,,
1,CustomerUser,Id,int,NO,,,auto,,,"take from Users table :
where exists (select userid from orders where userid=users.id)
*save created record id for future use",
1,CustomerUser,FirstName,nvarchar,NO,100,,direct,kupat1.Users,FirstName,"IsNULL(FirstName,'')",
1,CustomerUser,LastName,nvarchar,NO,300,,direct,kupat1.Users,LastName,"IsNULL(LastName,'')",
1,CustomerUser,Gender,int,YES,,,no-mapping,,,,
1,CustomerUser,Email,nvarchar,NO,100,,direct,kupat1.Users,Email,"IsNULL(Email,'Unknown')",
1,CustomerUser,UserName,nvarchar,NO,20,,direct,kupat1.Users,UserName,"IsNULL(UserName,NEWID())",
1,CustomerUser,Password,nvarchar,NO,200,,direct,kupat1.Users,PasswordHash,"IsNULL(PasswordHash,'1234')",handle hash
1,CustomerUser,Phone,nvarchar,YES,100,,condition,kupat1.Users,PhoneNumber,where phoneNumber is not null and phoneNumber not like '%**%',
1,CustomerUser,RecordStatus,int,NO,,,const,,,2 (Accept),
1,CustomerUser,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
1,CustomerUser,StatusChangedBy,int,NO,,,const,,,-1,
1,CustomerUser,CreatedAt,datetime,NO,,,direct,kupat1.Users,DateCreated,"IsNULL(DateCreated,GETDATE())",
1,CustomerUser,CreatedBy,int,NO,,,const,,,-1,
1,CustomerUser,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
1,CustomerUser,UpdatedBy,int,NO,,,const,,,-1,
,MoreItemLink,Id,int,NO,,,no-mapping,,,,
,MoreItemLink,EntityType,int,NO,,,no-mapping,,,,
,MoreItemLink,EntityId,int,NO,,,no-mapping,,,,
,MoreItemLink,Language,int,NO,,,no-mapping,,,,
,MoreItemLink,ListType,int,NO,,,no-mapping,,,,
,MoreItemLink,LinkSettingId,int,NO,,,no-mapping,,,,
,MoreItemLink,Order,int,NO,,,no-mapping,,,,
,MoreItemLink,RecordStatus,int,NO,,,no-mapping,,,,
,MoreItemLink,StatusChangedAt,datetime,NO,,,no-mapping,,,,
,MoreItemLink,StatusChangedBy,int,NO,,,no-mapping,,,,
,MoreItemLink,CreatedAt,datetime,NO,,,no-mapping,,,,
,MoreItemLink,CreatedBy,int,NO,,,no-mapping,,,,
,MoreItemLink,UpdatedAt,datetime,NO,,,no-mapping,,,,
,MoreItemLink,UpdatedBy,int,NO,,,no-mapping,,,,
,PrayName,Id,int,NO,,,,,,,
,PrayName,BelongToEntityType,int,NO,,,,,,,
,PrayName,BelongToEntityId,int,NO,,,,,,,
,PrayName,Name,nvarchar,NO,100,,,,,,
,PrayName,Gender,int,YES,,,,,,,
,PrayName,ParentName,nvarchar,YES,100,,,,,,
,PrayName,PrayDescription,nvarchar,NO,-1,,,,,,
,PrayName,CreatedAt,datetime,NO,,,,,,,
,PrayName,CreatedBy,int,NO,,,,,,,
,PrayName,UpdatedAt,datetime,NO,,,,,,,
,PrayName,UpdatedBy,int,NO,,,,,,,
,LutCreditCardType,Id,int,NO,,,,,,,
,LutCreditCardType,Description,nvarchar,NO,100,,,,,,
,LutCreditCardType,IsSystemValue,bit,NO,,,,,,,
,ClothesCollectionSetting,Id,int,NO,,,,,,,
,ClothesCollectionSetting,Language,int,NO,,,,,,,
,ClothesCollectionSetting,Title,nvarchar,NO,500,,,,,,
,ClothesCollectionSetting,Description,nvarchar,YES,-1,,,,,,
,ClothesCollectionSetting,Content,nvarchar,YES,-1,,,,,,
,ClothesCollectionSetting,MainMedia,int,NO,,,,,,,
,ClothesCollectionSetting,MainMobileMedia,int,NO,,,,,,,
,ClothesCollectionSetting,RecordStatus,int,NO,,,,,,,
,ClothesCollectionSetting,StatusChangedAt,datetime,NO,,,,,,,
,ClothesCollectionSetting,StatusChangedBy,int,NO,,,,,,,
,ClothesCollectionSetting,CreatedAt,datetime,NO,,,,,,,
,ClothesCollectionSetting,CreatedBy,int,NO,,,,,,,
,ClothesCollectionSetting,UpdatedAt,datetime,NO,,,,,,,
,ClothesCollectionSetting,UpdatedBy,int,NO,,,,,,,
,CustomerUserCrdt,Id,int,NO,,,no-mapping,,,,
,CustomerUserCrdt,CustomerUserId,int,NO,,,no-mapping,,,,
,CustomerUserCrdt,LastDigits,nvarchar,NO,4,,no-mapping,,,,
,CustomerUserCrdt,CreditCardType,int,YES,,,no-mapping,,,,
,CustomerUserCrdt,Token,nvarchar,NO,1000,,no-mapping,,,,
,CustomerUserCrdt,CreatedAt,datetime,NO,,,no-mapping,,,,
,CustomerUserCrdt,CreatedBy,int,NO,,,no-mapping,,,,
,CustomerUserCrdt,UpdatedAt,datetime,NO,,,no-mapping,,,,
,CustomerUserCrdt,UpdatedBy,int,NO,,,no-mapping,,,,
,,,,,,,,,,,
3,Address - Customer User Address (by Orders),,,,,,,,,,
3,Address,Id,int,NO,,,auto,,,"
create record for each record in Kupat1.Orders if assoiate to UserId and contains address data
(Billing/Certificate)
where IsNull(UserId,0)>0 and
         IsNull([AnonymousUser],0) = 0 
         and PaymentMethod != 'NedarimPlus'
         and ((BillingCity is not null and replace(BillingCity,'*','')!= '') or (BillingStreet is not null and replace(BillingStreet,'*','')!= '')).
(and the same condition for CertificateCity...)
*combine identical address records for the same UserId
*Save the relationship between the Address.Ids and the OrdersID for use when inserting to CustomerAddress & Donations tables
",
3,Address,Country,int,NO,,,FK,NewDB.LutCountries,Id,,
3,Address,City,nvarchar,NO,100,,direct,Kupat1.Orders,BillingCity,if Null set '',
3,Address,Street,nvarchar,YES,100,,direct,Kupat1.Orders,BillingStreet,"left(BillingStreet,100)",
3,Address,Number,nvarchar,YES,10,,no-mapping,,,,
3,Address,Entrance,nvarchar,YES,10,,no-mapping,,,,
3,Address,Floor,nvarchar,YES,10,,no-mapping,,,,
3,Address,ZipCode,nvarchar,YES,10,,direct,Kupat1.Orders,BillingZip,"left(BillingZip,10)",
3,Address,Latitude,float,YES,,,no-mapping,Donation,,,
3,Address,Longitude,float,YES,,,no-mapping,Donation,,,
3,Address,Comments,nvarchar,YES,1000,,expression,,,"if Billing/CertificateStreet len > 100 save the whole text in Comments:
street:..,
if Billing/CertificateZipCode len > 10 save the whole text in Comments:
zip:..,
if Billing/CertificateCountry not found in LutCountries and its' translations save it in Comments:
country:..",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,CustomerAddress,Id,int,NO,,,auto,,,"create record for records from NewDB.Donation table where UserId  not null and ReceiptAddress not null, also for ShippingAddress not null (remove duplicates)",
,CustomerAddress,CustomerUserId,int,NO,,,direct,newDB.Donation,UserId,,
,CustomerAddress,AddressId,int,YES,,,direct,newDB.Donation,"ReceiptAddress , ShippingAddress",if they are different create a record for each one,
,CustomerAddress,IsMainAddress,bit,NO,,,expression,,,set to 1 if user has single address,
,CustomerAddress,CreatedAt,datetime,NO,,,const,,,GETDATE(),
,CustomerAddress,CreatedBy,int,NO,,,const,,,-1,
,CustomerAddress,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
,CustomerAddress,UpdatedBy,int,NO,,,const,,,-1,
,LutClothesCollectPointType,Id,int,NO,,,,,,,
,LutClothesCollectPointType,Description,nvarchar,NO,100,,,,,,
,LutClothesCollectPointType,IsSystemValue,bit,NO,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,LutActivityTimeType,Id,int,NO,,,,,,,
,LutActivityTimeType,Description,nvarchar,NO,100,,,,,,
,LutActivityTimeType,IsSystemValue,bit,NO,,,,,,,
,CustomerUserPrayName,Id,int,NO,,,,,,,
,CustomerUserPrayName,CustomerUserId,int,NO,,,,,,,
,CustomerUserPrayName,Name,nvarchar,NO,100,,,,,,
,CustomerUserPrayName,Gender,int,YES,,,,,,,
,CustomerUserPrayName,ParentName,nvarchar,NO,100,,,,,,
,CustomerUserPrayName,CreatedAt,datetime,NO,,,,,,,
,CustomerUserPrayName,CreatedBy,int,NO,,,,,,,
,CustomerUserPrayName,UpdatedAt,datetime,NO,,,,,,,
,CustomerUserPrayName,UpdatedBy,int,NO,,,,,,,
,ClothesCollectionPoint,Id,int,NO,,,,,,,
,ClothesCollectionPoint,Language,int,NO,,,,,,,
,ClothesCollectionPoint,Name,nvarchar,YES,200,,,,,,
,ClothesCollectionPoint,PointType,int,NO,,,,,,,
,ClothesCollectionPoint,AddressId,int,NO,,,,,,,
,ClothesCollectionPoint,ActivityTimeType,int,NO,,,,,,,
,ClothesCollectionPoint,ActivityDate,date,YES,,,,,,,
,ClothesCollectionPoint,DateDescription,nvarchar,YES,1000,,,,,,
,ClothesCollectionPoint,TimeDescription,nvarchar,YES,1000,,,,,,
,ClothesCollectionPoint,RecordStatus,int,NO,,,,,,,
,ClothesCollectionPoint,StatusChangedAt,datetime,NO,,,,,,,
,ClothesCollectionPoint,StatusChangedBy,int,NO,,,,,,,
,ClothesCollectionPoint,CreatedAt,datetime,NO,,,,,,,
,ClothesCollectionPoint,CreatedBy,int,NO,,,,,,,
,ClothesCollectionPoint,UpdatedAt,datetime,NO,,,,,,,
,ClothesCollectionPoint,UpdatedBy,int,NO,,,,,,,
1,Terminal,Id,int,NO,,,direct,Terminals,Id,,
1,Terminal,Name,nvarchar,NO,100,,direct,Terminals,Title,,
1,Terminal,TerminalNum,int,NO,,,direct,Terminals,TerminalNo,,
1,Terminal,UserName,nvarchar,NO,500,,direct,Terminals,UserName,,
1,Terminal,RecordStatus,int,NO,,,const,,,2 (Accept),
1,Terminal,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
1,Terminal,StatusChangedBy,int,NO,,,const,,,-1,
1,Terminal,CreatedAt,datetime,NO,,,const,,,GETDATE(),
1,Terminal,CreatedBy,int,NO,,,const,,,-1,
1,Terminal,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
1,Terminal,UpdatedBy,int,NO,,,const,,,-1,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,ClothesCollectionRequest,Id,int,NO,,,,,,,
,ClothesCollectionRequest,CustomerId,int,NO,,,,,,,
,ClothesCollectionRequest,AddressId,int,NO,,,,,,,
,ClothesCollectionRequest,AntsRouteId,int,YES,,,,,,,
,ClothesCollectionRequest,PickupDateTime,date,YES,,,,,,,
,ClothesCollectionRequest,RecordStatus,int,NO,,,,,,,
,ClothesCollectionRequest,StatusChangedAt,datetime,NO,,,,,,,
,ClothesCollectionRequest,StatusChangedBy,int,NO,,,,,,,
,ClothesCollectionRequest,CreatedAt,datetime,NO,,,,,,,
,ClothesCollectionRequest,CreatedBy,int,NO,,,,,,,
,ClothesCollectionRequest,UpdatedAt,datetime,NO,,,,,,,
,ClothesCollectionRequest,UpdatedBy,int,NO,,,,,,,
,LutProjectType,Id,int,NO,,,,,,,
,LutProjectType,Description,nvarchar,NO,100,,,,,,
,LutProjectType,IsSystemValue,bit,NO,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,Default Image,,,,,,,,,,
1,Media,Id,int,NO,,,direct,,,1,
1,Media,RelativePath,nvarchar,NO,500,,const,,,defaultProjectImage.jpg',
1,Media,MediaType,int,NO,,,const,,,1 (Image),
1,Media,FriendlyName,nvarchar,YES,100,,const,,,תמונת קופת העיר,
1,Media,MatchToPlatform,int,NO,,,const,,,3 (All),
1,Media,RecordStatus,int,NO,,,const,,,2 (Accept),
1,Media,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
1,Media,StatusChangedBy,int,NO,,,const,,,-1,
1,Media,CreatedAt,datetime,NO,,,const,,,GETDATE(),
1,Media,CreatedBy,int,NO,,,const,,,-1,
1,Media,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
1,Media,UpdatedBy,int,NO,,,const,,,-1,
1,Funds ,,,,,,,,,,
1,Project,Id,int,NO,,,auto,,,"create record for each record in Products table --ללא מגביות --כל השטרות הן מגביות where IsNull([Certificate],0) != 1 -- כל קבוצות הקרנות הן מגביות and not exists (select * from ProductGroup g where g.ParentProductId=p.productsid or g.SubProductId=p.productsid) --כל החדשות מצביעים למגביות and not exists (select * from news where content1 like '%pid='+CONVERT(NVARCHAR(50),products.productsid)+'&%' or content1_en .... or content1_fr) save the created id for other related tables save this records as ""list of found funds",
1,Project,Name,nvarchar,NO,150,,expression,Products,Name,"לחתוך 150 תווים ראשונים:
left(name,150) ",
1,Project,ProjectType,int,NO,,,const,,,1 (Fund),
1,Project,KupatFundNo,int,YES,,,direct,Products,ProjectNumber,,
1,Project,CreditCardTerminalId,int,YES,,,direct,Products,Terminal,,
1,Project,DisplayAsSelfView,bit,YES,,,direct,Products,WithoutKupatView,,
1,Project,RecordStatus,int,NO,,,const,,,2 (Accept),
1,Project,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
1,Project,StatusChangedBy,int,NO,,,const,,,-1,
1,Project,CreatedAt,datetime,NO,,,direct,Products,DateCreated,,
1,Project,CreatedBy,int,NO,,,const,,,-1,
1,Project,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
1,Project,UpdatedBy,int,NO,,,const,,,-1,
1,,לכל קרן יש פריט אחד מסוג תרומה לקרן,,,,,,,,,
1,ProjectItem,Id,int,NO,,,auto,,,"create one record for each Project record that was created for funds list.
*save record id for LinkSettings",
1,ProjectItem,ProjectId,int,NO,,,FK,NewDB.Project,Id,,
1,ProjectItem,ItemName,nvarchar,NO,150,,expression,Products,Name,"לחתוך 150 תווים ראשונים:
left(name,150) ",
1,ProjectItem,ItemType,int,NO,,,const,,,5 (FundDonation),
1,ProjectItem,PriceType,int,NO,,,const,,,2 (Free),
1,ProjectItem,KupatFundNo,int,,,,no-mapping,,,,
1,ProjectItem,HasEngravingName,bit,NO,,,const,,,0,
1,ProjectItem,AllowFreeAddPrayerNames,bit,NO,,,expression,Products,ShowPrayerNames,"isNull(ShowPrayerNames,0)",
1,ProjectItem,AllowAddDedication,bit,,,,no-mapping,,,,
1,ProjectItem,DeliveryMethod,int,YES,,,no-mapping,,,,
1,ProjectItem,AllowSelfPickup,bit,YES,,,no-mapping,,,,
1,ProjectItem,RecordStatus,int,NO,,,const,,,2 (Accept),
1,ProjectItem,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
1,ProjectItem,StatusChangedBy,int,NO,,,const,,,-1,
1,ProjectItem,CreatedAt,datetime,NO,,,const,,,GETDATE(),
1,ProjectItem,CreatedBy,int,NO,,,const,,,-1,
1,ProjectItem,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
1,ProjectItem,UpdatedBy,int,NO,,,const,,,-1,
1,,,,,,,,,,,
1,,,,,,,,,,,
1,Hebrew Images,,,,,,,,,,
1,Media,Id,int,NO,,,auto,,,"create record for each found Funds 
and only if Products.Pic is not null",
1,Media,RelativePath,nvarchar,NO,500,,direct,Products,Pic,,
1,Media,MediaType,int,NO,,,const,,,1 (Image),
1,Media,FriendlyName,nvarchar,YES,100,,no-mapping,,,,
1,Media,MatchToPlatform,int,NO,,,const,,,3 (All),
1,Media,RecordStatus,int,NO,,,const,,,2 (Accept),
1,Media,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
1,Media,StatusChangedBy,int,NO,,,const,,,-1,
1,Media,CreatedAt,datetime,NO,,,const,,,GETDATE(),
1,Media,CreatedBy,int,NO,,,const,,,-1,
1,Media,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
1,Media,UpdatedBy,int,NO,,,const,,,-1,
1,Hebrew Videos,,,,,,,,,,
1,Media,Id,int,NO,,,auto,,,"create record for each found Funds 
and only if Products.ProjectVideo is not null",
1,Media,RelativePath,nvarchar,NO,500,,direct,Products,ProjectVideo,,
1,Media,MediaType,int,NO,,,const,,,2 (Video),
1,Media,FriendlyName,nvarchar,YES,100,,no-mapping,,,,
1,Media,MatchToPlatform,int,NO,,,const,,,3 (All),
1,Media,RecordStatus,int,NO,,,const,,,2 (Accept),
1,Media,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
1,Media,StatusChangedBy,int,NO,,,const,,,-1,
1,Media,CreatedAt,datetime,NO,,,const,,,GETDATE(),
1,Media,CreatedBy,int,NO,,,const,,,-1,
1,Media,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
1,Media,UpdatedBy,int,NO,,,const,,,-1,
1,Hebrew Main Button LinkSettings ( for ProjectLocalization.MainLinkButtonSettingId),,,,,,,,,,
1,LinkSetting,Id,int,NO,,,auto,,,create one record for each Fund project,
1,LinkSetting,LinkType,int,NO,,,const,,,1 (button),
1,LinkSetting,LinkTargetType,int,NO,,,const,,,3 (Link to Execution Page),
1,LinkSetting,ProjectId,int,NO,,,FK,NewDB.Project,Id,the created record id ,
1,LinkSetting,ItemId,int,YES,,,FK,NewDB.ProjectItem,Id,the created record id of the single item for each project,
1,LinkSetting,LinkText,nvarchar,NO,200,,const,,,"""לתרומה""",
1,LinkSetting,MediaId,int,YES,,,no-mapping,,,,
1,LinkSetting,MobileMediaId,int,YES,,,no-mapping,,,,
1,LinkSetting,Description,nvarchar,YES,1000,,no-mapping,,,,
1,LinkSetting,DonationPagePaymentType,int,YES,,,no-mapping,,,,
1,LinkSetting,DonationPagePaymentSum,int,YES,,,no-mapping,,,,
1,LinkSetting,DonationPagePaymentCount,int,YES,,,no-mapping,,,,
1,LinkSetting,CreatedAt,datetime,NO,,,const,,,GETDATE(),
1,LinkSetting,CreatedBy,int,NO,,,const,,,-1,
1,LinkSetting,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
1,LinkSetting,UpdatedBy,int,NO,,,const,,,-1,
1,Hebrew Projects Settings ,,,,,,,,,,
1,ProjectLocalization,Id,int,NO,,,auto,,,create record for each found Funds ,
1,ProjectLocalization,ProjectId,int,NO,,,FK,NewDB.Project,Id,take the record id that was created for this record from Products table,
1,ProjectLocalization,Language,int,NO,,,const,,,1 (Hebrew),
1,ProjectLocalization,DisplayInSite,bit ,NO,,,expression,Products,,!Hide,
1,ProjectLocalization,Title,nvarchar,NO,150,,expression,Products,Name,"לחתוך 150 תווים ראשונים:
left(name,150) ",
1,ProjectLocalization,Description,nvarchar,YES,,,direct,Products,ShortDescription,,
1,ProjectLocalization,RecruitmentTarget,int,YES,,,expression,Products,Price,if price=0 =>null else =>price,
1,ProjectLocalization,Content,nvarchar,YES,,,expression,Products,Description,"replace ""href=""https://www.kupat.org.il/views/DonationPage"" 
or: ""https://www.kupat.org.il/views/DonationPrayer""
or: ""https://www.kupat.org.il/views/prayerModal""
or: ""https://www.kupat.org.il/views/donationmodal""
to ""routerLink=""/donate""

replace ""https://www.kupat.org.il/Project""
to ""routerLink=""/project""",
1,ProjectLocalization,MainMedia,int,NO,,,FK,NewDB.Media,Id,"if Products.Pic is not null =>find the related record for this Pic
else if Products.ProjectVideo is not null =>find the related record for this ProjectVideo
else => 1 (default image)",
1,ProjectLocalization,ImageForListsView,int,NO,,,FK,NewDB.Media,Id,,
1,ProjectLocalization,HideDonationsInSite,bit,YES,,,direct,Products,HideDonationAmount,,
1,ProjectLocalization,OrderInProjectsView,int,YES,,,expression,Products,Sort,"if sort<=30 => sort
else null",
1,ProjectLocalization,ProjectsViewLinkSettingId,int,YES,,,const,,,null,
1,ProjectLocalization,OrderInNewsView,int,YES,,,const,,,null,
1,ProjectLocalization,NewsViewLinkSettingId,int,YES,,,const,,,null,
1,ProjectLocalization,MainLinkButtonSettingId,int,YES,,,FK,NewDB. LinkSettings,Id,find the record id in NewDB.LinkSettings that was created for the single ProjectItem of this project,
1,ProjectLocalization,CreatedAt,datetime,NO,,,const,,,GETDATE(),
1,ProjectLocalization,CreatedBy,int,NO,,,const,,,-1,
1,ProjectLocalization,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
1,ProjectLocalization,UpdatedBy,int,NO,,,const,,,-1,
1,Hebrew Video for Project,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
1,EntityMedia,Id,int,NO,,,auto,,,"create record for founds funds 
where Pic is not null and ProjectVideo is not null",
1,EntityMedia,EntityType,int,NO,,,direct,,,1 (Project),
1,EntityMedia,EntityId,int,NO,,,FK,NewDB.Project,id,find the created id for this fund,
1,EntityMedia,Language,int,NO,,,const,,,1(Hebrew),
1,EntityMedia,MediaId,int,NO,,,FK,,,Find the created record in Media table for products.ProjectVideo,
1,EntityMedia,RecordStatus,int,NO,,,,,,,
1,EntityMedia,StatusChangedAt,datetime,NO,,,,,,,
1,EntityMedia,StatusChangedBy,int,NO,,,,,,,
1,EntityMedia,CreatedAt,datetime,NO,,,const,,,GETDATE(),
1,EntityMedia,CreatedBy,int,NO,,,const,,,-1,
1,EntityMedia,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
1,EntityMedia,UpdatedBy,int,NO,,,const,,,-1,
1,Hebrew Project Donation Page Image,,,,,,,,,,
1,Media,Id,int,NO,,,auto,,,"create record for each found Funds 
and only if Products.DonationPageBanner1 is not null",
1,Media,RelativePath,nvarchar,NO,500,,direct,Products,DonationPageBanner1,,
1,Media,MediaType,int,NO,,,const,,,1 (Image),
1,Media,FriendlyName,nvarchar,YES,100,,no-mapping,,,,
1,Media,MatchToPlatform,int,NO,,,const,,,3 (All),
1,Media,RecordStatus,int,NO,,,const,,,2 (Accept),
1,Media,StatusChangedAt,datetime,NO,,,const,,,GETDATE(),
1,Media,StatusChangedBy,int,NO,,,const,,,-1,
1,Media,CreatedAt,datetime,NO,,,const,,,GETDATE(),
1,Media,CreatedBy,int,NO,,,const,,,-1,
1,Media,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
1,Media,UpdatedBy,int,NO,,,const,,,-1,
1,Hebrew Footer Button LinkSettings ( for ProjectItemLocalization.ProjectFooterLinkSettingId),,,,,,,,,,
1,LinkSetting,Id,int,NO,,,auto,,,create one record for each Fund project,
1,LinkSetting,LinkType,int,NO,,,const,,,1 (button),
1,LinkSetting,LinkTargetType,int,NO,,,const,,,3 (Link to Execution Page),
1,LinkSetting,ProjectId,int,NO,,,FK,NewDB.Project,Id,the created record id ,
1,LinkSetting,ItemId,int,YES,,,FK,NewDB.ProjectItem,Id,the created record id of the single item for each project,
1,LinkSetting,LinkText,nvarchar,NO,200,,const,,,"""לתרומה לקרן""",
1,LinkSetting,MediaId,int,YES,,,no-mapping,,,,
1,LinkSetting,MobileMediaId,int,YES,,,no-mapping,,,,
1,LinkSetting,Description,nvarchar,YES,1000,,no-mapping,,,,
1,LinkSetting,DonationPagePaymentType,int,YES,,,no-mapping,,,,
1,LinkSetting,DonationPagePaymentSum,int,YES,,,no-mapping,,,,
1,LinkSetting,DonationPagePaymentCount,int,YES,,,no-mapping,,,,
1,LinkSetting,CreatedAt,datetime,NO,,,const,,,GETDATE(),
1,LinkSetting,CreatedBy,int,NO,,,const,,,-1,
1,LinkSetting,UpdatedAt,datetime,NO,,,const,,,GETDATE(),
1,LinkSetting,UpdatedBy,int,NO,,,const,,,-1,
1,Hebrew Project Items Settings ,,,,,,,,,,
1,ProjectItemLocalization,Id,int,NO,,,auto,,,create record for each Funds project items ,
